authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,External,attempt,,,,GEOINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Leidos,NRL,proj-15,15,Space Force,Service HQ,,0,4
Title50,,Space,,External,test,1.0,0.73,0.73,GEOINT,NonKinetic,0,,,,favorable,favorable,,Commercial,pass,Leidos,NRL,proj-15,15,Space Force,Service HQ,feasibility,0,5
Title50,,Space,,External,test,1.0,0.73,0.73,GEOINT,NonKinetic,0,,,,favorable,favorable,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,feasibility,0,5
Title50,,Space,1.0,External,funding,0.95,0.2,0.19,GEOINT,NonKinetic,1,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,1,5
Title10,,ISR,1.0,Partner,attempt,0.95,0.2,0.19,GEOINT,Kinetic,,,,,not_conducted,,,GovLab,start,Leidos,NAVWAR,proj-27,27,Space Force,Agency,,1,2
Title10,,ISR,1.0,Partner,funding,1.0,0.1875,0.1875,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,1,2
Title50,,Space,1.0,UFR,attempt,1.0,0.1875,0.1875,OSINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Boeing,NRL,proj-31,31,Space Force,CCMD,,1,3
Title50,Commercial,Space,,UFR,contracting,0.95,0.45,0.4275,OSINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,1,3
Title50,Commercial,Land,,Partner,attempt,0.95,0.45,0.4275,MASINT,NonKinetic,,,,,not_conducted,,,GovLab,start,SAIC,DARPA,proj-3,3,Navy,POC-User,,2,2
Title50,,Land,1.0,Partner,funding,0.9025,0.1875,0.169219,MASINT,NonKinetic,0,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,feasibility,2,2
Title10,,Cyber,1.0,ProgramBase,attempt,0.9025,0.1875,0.169219,MASINT,NonKinetic,,,,,not_conducted,,,Commercial,start,None,AFLCMC,proj-9,9,Army,Service HQ,,2,3
Title10,,Cyber,,ProgramBase,legal,,,,MASINT,NonKinetic,0,0.2675,0.575,0.05,unfavorable,,0.1075,Commercial,unfavorable,None,AFLCMC,proj-9,9,Army,Service HQ,feasibility,2,3
Title50,,Space,1.0,External,funding,0.7695,0.2,0.1539,GEOINT,NonKinetic,2,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,2,5
Title10,,ISR,1.0,Partner,funding,0.7695,0.1875,0.144281,GEOINT,Kinetic,1,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,2,2
Title50,,Space,1.0,UFR,funding,0.8075,0.175,0.141312,OSINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,2,3
Title50,,Land,1.0,Partner,funding,0.686375,0.1875,0.128695,MASINT,NonKinetic,1,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,feasibility,3,2
Title50,,Space,1.0,External,funding,0.612,0.2,0.1224,GEOINT,NonKinetic,3,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,3,5
Title10,,ISR,1.0,Partner,funding,0.576,0.1875,0.108,GEOINT,Kinetic,2,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,3,2
Title50,,Space,1.0,UFR,funding,0.64125,0.175,0.112219,OSINT,NonKinetic,2,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,3,3
Title50,,Land,1.0,Partner,funding,0.50625,0.1875,0.094922,MASINT,NonKinetic,2,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,feasibility,4,2
