authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,ISR,,ProgramBase,attempt,,,,OSINT,NonKinetic,,,,,not_conducted,,,GovLab,start,LM,NRL,proj-26,26,Space Force,Service HQ,,0,3
Title10,,ISR,1.0,ProgramBase,funding,1.0,0.25,0.25,OSINT,NonKinetic,0,,,,favorable_with_caveats,,,GovLab,fail,LM,NRL,proj-26,26,Space Force,Service HQ,feasibility,0,3
Title50,,Cyber,1.0,UFR,attempt,1.0,0.25,0.25,MASINT,NonKinetic,,,,,not_conducted,,,GovLab,start,LM,AFLCMC,proj-33,33,Space Force,Service HQ,,0,3
Title50,,Cyber,1.0,UFR,funding,0.95,0.175,0.16625,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,GovLab,fail,LM,AFLCMC,proj-33,33,Space Force,Service HQ,feasibility,0,3
Title10,,Maritime,1.0,Partner_CoDev,attempt,0.95,0.175,0.16625,MASINT,Kinetic,,,,,not_conducted,,,GovLab,start,None,PEO C4I,proj-21,21,IC,Service HQ,,1,3
Title10,,Maritime,1.0,Partner_CoDev,funding,0.9,0.2125,0.19125,MASINT,Kinetic,0,,,,favorable_with_caveats,,,GovLab,fail,None,PEO C4I,proj-21,21,IC,Service HQ,feasibility,1,3
Title10,,ISR,1.0,ProgramBase,funding,0.767125,0.25,0.191781,OSINT,NonKinetic,1,,,,favorable_with_caveats,,,GovLab,fail,LM,NRL,proj-26,26,Space Force,Service HQ,feasibility,1,3
Title50,,Cyber,1.0,UFR,funding,0.722,0.175,0.12635,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,GovLab,fail,LM,AFLCMC,proj-33,33,Space Force,Service HQ,feasibility,1,3
Title50,,Space,1.0,ProgramBase,attempt,0.722,0.175,0.12635,MASINT,Kinetic,,,,,not_conducted,,,Commercial,start,SAIC,DARPA,proj-11,11,USMC,POC-User,,2,4
Title50,,Space,1.0,ProgramBase,funding,0.9,0.25,0.225,MASINT,Kinetic,0,,,,favorable,,,Commercial,fail,SAIC,DARPA,proj-11,11,USMC,POC-User,feasibility,2,4
Title10,,Maritime,1.0,Partner_CoDev,funding,0.676875,0.2125,0.143836,MASINT,Kinetic,1,,,,favorable_with_caveats,,,GovLab,fail,None,PEO C4I,proj-21,21,IC,Service HQ,feasibility,2,3
Title50,,ISR,1.0,UFR,attempt,0.676875,0.2125,0.143836,OSINT,NonKinetic,,,,,not_conducted,,,GovLab,start,LM,DEVCOM,proj-24,24,Navy,Service HQ,,2,2
Title50,,ISR,,UFR,test,1.0,0.67,0.67,OSINT,NonKinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,GovLab,pass,LM,DEVCOM,proj-24,24,Navy,Service HQ,feasibility,2,3
Title50,,ISR,,UFR,test,1.0,0.67,0.67,OSINT,NonKinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,GovLab,fail,LM,DEVCOM,proj-24,24,Navy,Service HQ,feasibility,2,3
Title10,GovLab,ISR,,ProgramBase,contracting,0.63,0.6,0.378,OSINT,NonKinetic,2,,,,favorable_with_caveats,,,GovLab,fail,LM,NRL,proj-26,26,Space Force,Service HQ,feasibility,2,3
Title50,,Cyber,1.0,UFR,funding,0.567,0.175,0.099225,MASINT,NonKinetic,2,,,,favorable_with_caveats,,,GovLab,fail,LM,AFLCMC,proj-33,33,Space Force,Service HQ,feasibility,2,3
Title50,,Space,1.0,ProgramBase,funding,0.767125,0.25,0.191781,MASINT,Kinetic,1,,,,favorable,,,Commercial,fail,SAIC,DARPA,proj-11,11,USMC,POC-User,feasibility,3,4
Title10,GovLab,Maritime,,Partner_CoDev,contracting,0.63,0.6,0.378,MASINT,Kinetic,2,,,,favorable_with_caveats,,,GovLab,fail,None,PEO C4I,proj-21,21,IC,Service HQ,feasibility,3,3
