adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,Foundational_Science,,,UFR,attempt,,,,,,,,,,,,,,,,,NA,Kinetic,,,,,not_conducted,,,,Commercial,start,None,NAVWAR,OUSD_SCI_001,3,OUSD(R&E),Service HQ,,1,4
,,,,Title10,,Foundational_Science,,,UFR,test,0.0,1.0,1.0,0.675,,1.0,1.0,1.0,0.79,0.53325,1.0,,0,1.0,,1.0,NA,Kinetic,0,,,,favorable,favorable,,,Commercial,fail,None,NAVWAR,OUSD_SCI_001,3,OUSD(R&E),Service HQ,feasibility,1,4
,,,,Title10,,Sensors,,,UFR,attempt,0.0,1.0,1.0,0.675,,1.0,1.0,1.0,0.79,0.53325,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable,,,GovContractor,start,Leidos,PEO C4I,MDA_HYP_001,6,MDA,Agency,,1,3
,,,,Title10,,Sensors,,,UFR,test,0.0,1.0,1.0,0.725,,1.0,0.975,1.0,0.67,0.473606,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,GovContractor,pass,Leidos,PEO C4I,MDA_HYP_001,6,MDA,Agency,prototype_demo,1,4
,,,,Title10,,Land_Warfare,,,Partner,attempt,0.0,1.0,1.0,0.725,,1.0,0.975,1.0,0.67,0.473606,1.0,,0,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable_with_caveats,,,GovLab,start,LM,PEO C4I,ARMY_BA3_001,8,Army,CCMD,,1,4
,,,,Title10,,Land_Warfare,0.0,1.0,Partner,funding,,,1.0,,,1.0,1.0,1.0,0.375,0.4425,1.0,1.18,0,1.0,1.0,,ISR,NonKinetic,0,,,,favorable,,,,GovLab,fail,LM,PEO C4I,ARMY_BA3_001,8,Army,CCMD,prototype_demo,1,4
,,,,MFP11,,ISR,0.0,1.0,POM,attempt,,,1.0,,,1.0,1.0,1.0,0.375,0.4425,1.0,1.18,0,1.0,1.0,,MultiINT,NonKinetic,,,,,not_conducted,,,,Commercial,start,NG,NAVWAR,SOCOM_BA4_001,20,SOCOM,POC-User,,1,4
,,,,MFP11,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.0,1.0,1.0,0.30375,0.329751,1.0,1.18,0,1.0,0.92,,MultiINT,NonKinetic,0,,,,favorable,,,,Commercial,fail,NG,NAVWAR,SOCOM_BA4_001,20,SOCOM,POC-User,functional_test,1,4
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner_CoDev,attempt,,,1.0,,,1.0,1.0,1.0,0.30375,0.329751,1.0,1.18,0,1.0,0.92,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,SOCOM_BA5_001,21,SOCOM,CCMD,,1,2
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner_CoDev,funding,,,1.0,,,1.0,0.975,1.0,0.286875,0.303646,1.0,1.18,0,1.0,0.92,,ISR,NonKinetic,0,,,,not_conducted,,,,Commercial,fail,LM,DEVCOM,SOCOM_BA5_001,21,SOCOM,CCMD,vulnerability_test,1,2
,,,,Title10,,Medical,0.0,0.75,POM,attempt,,,1.0,,,1.0,0.975,1.0,0.286875,0.303646,1.0,1.18,0,1.0,0.92,,Medical,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,NRL,DHA_BA4_001,27,DHA,POC-User,,1,4
,,,,Title10,,Medical,,,POM,test,0.0,1.0,1.0,0.75,,1.0,0.975,1.0,0.69,0.504563,1.0,,0,1.0,,1.0,Medical,Kinetic,0,,,,favorable,favorable,,,Commercial,pass,LM,NRL,DHA_BA4_001,27,DHA,POC-User,functional_test,1,5
,,,,Title10,,AI_ML,,,Partner_CoDev,attempt,0.0,1.0,1.0,0.75,,1.0,0.975,1.0,0.69,0.504563,1.0,,0,1.0,,1.0,NA,NonKinetic,,,,,not_conducted,favorable,,,Commercial,start,LM,AFLCMC,DIU_BA3_001,28,DIU,Service HQ,,1,2
