adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,Air_Dominance,,,POM,attempt,,,,,,,,,,,,,,,,,NA,Kinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,NAVWAR,AF_BA2_001,15,Air Force,CCMD,,0,3
,,,,Title10,,Air_Dominance,,,POM,test,0.0,1.0,1.0,0.7,,1.0,1.0,1.0,0.76,0.532,1.0,,0,1.0,,1.0,NA,Kinetic,0,,,,favorable,favorable,,,GovContractor,pass,SAIC,NAVWAR,AF_BA2_001,15,Air Force,CCMD,feasibility,0,4
,,,,Title10,,Sensors,,,UFR,attempt,0.0,1.0,1.0,0.7,,1.0,1.0,1.0,0.76,0.532,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable,,,GovLab,start,NG,PEO C4I,AF_BA4_001,17,Air Force,Service HQ,,0,3
,,,,Title10,,Sensors,0.0,0.75,UFR,funding,,,1.0,,,1.0,1.0,1.0,0.23625,0.278775,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,NG,PEO C4I,AF_BA4_001,17,Air Force,Service HQ,functional_test,0,3
,,,,Title10,,C2_JADC2,0.0,0.75,Partner,attempt,,,1.0,,,1.0,1.0,1.0,0.23625,0.278775,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,NAVWAR,AF_BA5_001,18,Air Force,POC-User,,0,3
,,,,Title10,,C2_JADC2,0.0,0.75,Partner,funding,,,1.0,,,1.0,0.975,1.0,0.253125,0.29122,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NAVWAR,AF_BA5_001,18,Air Force,POC-User,vulnerability_test,0,3
,,,,MFP11,,Strike,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,0.975,1.0,0.253125,0.29122,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,PEO C4I,SOCOM_BA3_001,19,SOCOM,Service HQ,,0,2
,,,,MFP11,GovLab,Strike,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,0.95,,0.6,0.57,,,0,1.0,,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,PEO C4I,SOCOM_BA3_001,19,SOCOM,Service HQ,prototype_demo,0,2
,,,,MFP11,GovLab,ISR,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,0.95,,0.6,0.57,,,0,1.0,,,MultiINT,Kinetic,,,,,not_conducted,,,,GovLab,start,SAIC,DARPA,SOCOM_BA4_001,20,SOCOM,CCMD,,0,2
,,,,MFP11,,ISR,,,ProgramBase,legal,,,,,,,,,,,,,,,,,MultiINT,Kinetic,0,0.28,0.55,0.0,unfavorable,,1.0,0.12,GovLab,unfavorable,SAIC,DARPA,SOCOM_BA4_001,20,SOCOM,CCMD,functional_test,0,2
,,,,MFP11,,C2_JADC2,,,External,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,0.28,0.55,0.0,not_conducted,,1.0,0.12,GovContractor,start,Leidos,DARPA,SOCOM_BA5_001,21,SOCOM,Service HQ,,0,2
,,,,MFP11,,C2_JADC2,,,External,test,0.0,1.0,1.0,0.8,,1.0,0.950625,1.0,0.6,0.4563,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable,favorable,,,GovContractor,fail,Leidos,DARPA,SOCOM_BA5_001,21,SOCOM,Service HQ,vulnerability_test,0,2
,,,,Title10,,EW,,,POM,attempt,0.0,1.0,1.0,0.8,,1.0,0.950625,1.0,0.6,0.4563,1.0,,0,1.0,,1.0,SIGINT,Kinetic,,,,,not_conducted,favorable,,,Commercial,start,NG,AFLCMC,ARMY_BA5_002,32,Army,Service HQ,,0,4
,,,,Title10,,EW,,,POM,test,0.0,1.0,1.0,0.8,,1.0,0.95,1.0,0.55,0.418,1.0,,0,1.0,,1.0,SIGINT,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,pass,NG,AFLCMC,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,0,5
