adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,Air_Dominance,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,,,,not_conducted,,,,GovContractor,start,NG,DARPA,ARMY_BA4_001,9,Army,CCMD,,0,3
,,,,Title10,GovContractor,Air_Dominance,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,1.0,,0.65,0.65,,,0,1.0,,,ISR,Kinetic,0,,,,favorable,,,,GovContractor,fail,NG,DARPA,ARMY_BA4_001,9,Army,CCMD,functional_test,0,3
,,,,Title10,GovContractor,Air_Dominance,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,1.0,,0.65,0.65,,,0,1.0,,,NA,Kinetic,,,,,not_conducted,,,,GovContractor,start,Leidos,DARPA,AF_BA2_001,15,Air Force,Service HQ,,0,4
,,,,Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.950625,1.0,0.5,0.560869,1.0,1.18,0,1.0,1.0,,NA,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,Leidos,DARPA,AF_BA2_001,15,Air Force,Service HQ,feasibility,0,4
,,,,Title10;Title50,,Biotechnology,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,0.950625,1.0,0.5,0.560869,1.0,1.18,0,1.0,1.0,,CBRNE,Kinetic,,,,,not_conducted,,,,Commercial,start,Leidos,PEO C4I,CBDP_BA3_001,24,CBDP,POC-User,,0,2
,,,,Title10;Title50,,Biotechnology,,,ProgramBase,test,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.67,0.48575,1.0,,0,1.0,,1.0,CBRNE,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,pass,Leidos,PEO C4I,CBDP_BA3_001,24,CBDP,POC-User,prototype_demo,0,3
,,,,Title10,,Air_Dominance,,,External,attempt,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.67,0.48575,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable_with_caveats,,,GovLab,start,LM,DEVCOM,NAVY_BA4_002,36,Navy,CCMD,,0,4
,,,,Title10,,Air_Dominance,0.0,0.75,External,funding,,,1.0,,,1.0,0.95,1.0,0.27,0.30267,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,LM,DEVCOM,NAVY_BA4_002,36,Navy,CCMD,functional_test,0,4
,,,,Title10,,C2_JADC2,0.0,0.75,POM,attempt,,,1.0,,,1.0,0.95,1.0,0.27,0.30267,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,SAIC,AFLCMC,NAVY_BA5_001,37,Navy,Service HQ,,0,4
,,,,Title10,,C2_JADC2,,,POM,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.28,0.55,0.0,unfavorable,,1.0,0.12,GovLab,unfavorable,SAIC,AFLCMC,NAVY_BA5_001,37,Navy,Service HQ,vulnerability_test,0,4
,,,,Title10,,Sensors,,,POM,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,0.28,0.55,0.0,not_conducted,,1.0,0.12,GovLab,start,Leidos,NAVWAR,MDA_HYP_001,6,MDA,POC-User,,1,3
