adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10;Title50,,Sensors,,,POM,attempt,,,,,,,,,,,,,,,,,CBRNE,NonKinetic,,,,,not_conducted,,,,GovContractor,start,NG,DEVCOM,DTRA_BA3_001,23,DTRA,CCMD,,0,2
,,,,Title10;Title50,,Sensors,,,POM,test,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.75,0.54375,1.0,,0,1.0,,1.0,CBRNE,NonKinetic,0,,,,favorable,favorable,,,GovContractor,pass,NG,DEVCOM,DTRA_BA3_001,23,DTRA,CCMD,prototype_demo,0,3
,,,,Title10,,C2_JADC2,,,ProgramBase,attempt,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.75,0.54375,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable,,,GovLab,start,Boeing,DARPA,0603766E,1,DARPA,CCMD,,1,3
,,,,Title10,,C2_JADC2,,,ProgramBase,test,0.0,1.0,1.0,0.75,,1.0,1.0,1.0,0.67,0.5025,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,Boeing,DARPA,0603766E,1,DARPA,CCMD,prototype_demo,1,4
,,,,Title10,,C2_JADC2,,,UFR,attempt,0.0,1.0,1.0,0.75,,1.0,1.0,1.0,0.67,0.5025,1.0,,0,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable_with_caveats,,,GovContractor,start,Leidos,PEO C4I,ARMY_BA5_001,10,Army,Agency,,1,4
,,,,Title10,,C2_JADC2,,,UFR,test,0.0,1.0,1.0,0.8,,1.0,1.0,1.0,0.66,0.528,1.0,,0,1.0,,1.0,ISR,NonKinetic,0,,,,not_conducted,not_conducted,,,GovContractor,pass,Leidos,PEO C4I,ARMY_BA5_001,10,Army,Agency,vulnerability_test,1,5
,,,,MFP11,,C2_JADC2,,,Partner,attempt,0.0,1.0,1.0,0.8,,1.0,1.0,1.0,0.66,0.528,1.0,,0,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,not_conducted,,,GovLab,start,None,PEO C4I,SOCOM_BA5_001,21,SOCOM,CCMD,,1,4
,,,,MFP11,,C2_JADC2,,,Partner,test,0.0,1.0,1.0,0.8,,1.0,1.0,1.0,0.68,0.544,1.0,,0,1.0,,1.0,ISR,NonKinetic,0,,,,favorable,favorable,,,GovLab,pass,None,PEO C4I,SOCOM_BA5_001,21,SOCOM,CCMD,vulnerability_test,1,5
,,,,Title10;Title50,,Sensors,,,POM,test,0.0,1.0,1.0,0.725,,1.02,1.0,1.0,0.71,0.525045,1.0,,1,1.0,,1.0,CBRNE,NonKinetic,1,,,,favorable,favorable,,,GovContractor,pass,NG,DEVCOM,DTRA_BA3_001,23,DTRA,CCMD,functional_test,1,4
,,,,Title10,,Air_Dominance,,,External,attempt,0.0,1.0,1.0,0.725,,1.02,1.0,1.0,0.71,0.525045,1.0,,1,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable,,,GovLab,start,LM,NRL,ARMY_BA3_002,30,Army,POC-User,,1,2
,,,,Title10,,Air_Dominance,,,External,test,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.7,0.5075,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable,favorable,,,GovLab,pass,LM,NRL,ARMY_BA3_002,30,Army,POC-User,prototype_demo,1,3
,,,,Title10,,Sensors,,,ProgramBase,attempt,0.0,1.0,1.0,0.725,,1.0,1.0,1.0,0.7,0.5075,1.0,,0,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable,,,GovContractor,start,NG,DARPA,NAVY_BA3_002,35,Navy,POC-User,,1,3
,,,,Title10,GovContractor,Sensors,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,1.0,,0.65,0.65,,,0,1.0,,,ISR,NonKinetic,0,,,,favorable,,,,GovContractor,fail,NG,DARPA,NAVY_BA3_002,35,Navy,POC-User,prototype_demo,1,3
,,,,Title10,,C2_JADC2,,,ProgramBase,test,0.0,1.0,1.0,0.75,,1.02,1.0,1.0,0.66,0.5049,1.0,,1,1.0,,1.0,ISR,Kinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,Boeing,DARPA,0603766E,1,DARPA,CCMD,functional_test,2,5
,,,,Title10,,Strike,,,UFR,attempt,0.0,1.0,1.0,0.75,,1.02,1.0,1.0,0.66,0.5049,1.0,,1,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable_with_caveats,,,GovContractor,start,Boeing,DARPA,0603892C,4,MDA,Agency,,2,4
,,,,Title10,,Strike,0.0,0.75,UFR,funding,,,1.0,,,1.0,0.975,1.0,0.23625,0.271806,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable,,,,GovContractor,fail,Boeing,DARPA,0603892C,4,MDA,Agency,functional_test,2,4
,,,,Title10,,C2_JADC2,,,UFR,test,0.0,1.0,1.0,0.8,,1.02,1.0,1.0,0.67,0.54672,1.0,,1,1.0,,1.0,ISR,NonKinetic,1,,,,favorable,favorable,,,GovContractor,fail,Leidos,PEO C4I,ARMY_BA5_001,10,Army,Agency,operational_test,2,5
,,,,Title10,,EW,,,UFR,attempt,0.0,1.0,1.0,0.8,,1.02,1.0,1.0,0.67,0.54672,1.0,,1,1.0,,1.0,SIGINT,Kinetic,,,,,not_conducted,favorable,,,Commercial,start,Leidos,DARPA,NAVY_BA4_001,13,Navy,POC-User,,2,2
,,,,Title10,,EW,0.0,0.75,UFR,funding,,,1.0,,,1.0,0.975,1.0,0.23625,0.271806,1.0,1.18,0,1.0,1.0,,SIGINT,Kinetic,0,,,,favorable,,,,Commercial,fail,Leidos,DARPA,NAVY_BA4_001,13,Navy,POC-User,functional_test,2,2
,,,,MFP11,,C2_JADC2,,,Partner,test,0.0,1.0,1.0,0.8,,1.02,0.926859,1.0,0.67,0.506733,1.0,,1,1.0,,1.0,ISR,NonKinetic,1,,,,favorable,favorable,,,GovLab,pass,None,PEO C4I,SOCOM_BA5_001,21,SOCOM,CCMD,operational_test,2,7
0.5,0,1.0,1.0,MFP11,,C2_JADC2,,,Partner,adoption,,,,,,,,,,0.3,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,success,None,PEO C4I,SOCOM_BA5_001,21,SOCOM,CCMD,,2,7
,,,,Title10;Title50,,Sensors,0.0,0.75,POM,funding,,,1.0,,,1.02,0.92625,1.0,0.30375,0.338631,1.0,1.18,1,1.0,1.0,,CBRNE,NonKinetic,1,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,DTRA_BA3_001,23,DTRA,CCMD,vulnerability_test,2,4
,,,,Title10,,Air_Dominance,0.0,0.75,External,funding,,,1.0,,,1.02,1.0,1.0,0.27,0.324972,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,LM,NRL,ARMY_BA3_002,30,Army,POC-User,functional_test,2,3
,,,,Title10,,Sensors,,,ProgramBase,test,0.0,1.0,1.0,0.725,,1.02,0.903094,1.0,0.75,0.500878,1.0,,1,1.0,,1.0,ISR,NonKinetic,1,,,,favorable,favorable,,,GovContractor,fail,NG,DARPA,NAVY_BA3_002,35,Navy,POC-User,prototype_demo,2,3
,,,,Title10,,Air_Dominance,,,ProgramBase,attempt,0.0,1.0,1.0,0.725,,1.02,0.903094,1.0,0.75,0.500878,1.0,,1,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable,,,Commercial,start,NG,NAVWAR,NAVY_BA4_002,36,Navy,CCMD,,2,4
