adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,C2_JADC2,,,Partner_CoDev,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,,0,4
,,,,Title10,,C2_JADC2,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.0,1.0,1.0,0.425,0.5015,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,prototype_demo,0,4
,,,,Title10,,Autonomy_UxS,0.0,1.0,Partner,attempt,,,1.0,,,1.0,1.0,1.0,0.425,0.5015,1.0,1.18,0,1.0,1.0,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,,0,4
,,,,Title10,,Autonomy_UxS,0.0,1.0,Partner,funding,,,1.0,,,1.0,0.975,1.0,0.375,0.431437,1.0,1.18,0,1.0,1.0,,ISR,NonKinetic,0,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,0,4
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,0.975,1.0,0.375,0.431437,1.0,1.18,0,1.0,1.0,,CBRNE,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DARPA,CBDP_BA4_001,25,CBDP,Agency,,0,4
,,,,Title10;Title50,,Sensors,,,ProgramBase,legal,,,,,,,,,,,,,,,,,CBRNE,NonKinetic,0,0.25,0.6,0.0,unfavorable,,1.0,0.1,Commercial,unfavorable,SAIC,DARPA,CBDP_BA4_001,25,CBDP,Agency,functional_test,0,4
,,,,Title10,,C2_JADC2,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.02,0.880516,1.0,0.425,0.450411,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,prototype_demo,1,4
,,,,Title10,,Autonomy_UxS,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.02,0.880516,1.0,0.425,0.450411,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,SAIC,DARPA,OUSD_MOD_001,2,OUSD(R&E),Agency,,1,4
,,,,Title10,,Autonomy_UxS,,,ProgramBase,test,0.0,1.0,1.0,0.75,,1.0,0.975,1.0,0.73,0.533813,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable,favorable,,,GovLab,pass,SAIC,DARPA,OUSD_MOD_001,2,OUSD(R&E),Agency,prototype_demo,1,5
,,,,Title10,,Strike,,,ProgramBase,attempt,0.0,1.0,1.0,0.75,,1.0,0.975,1.0,0.73,0.533813,1.0,,0,1.0,,1.0,ISR,Kinetic,,,,,not_conducted,favorable,,,GovLab,start,SAIC,PEO C4I,0603892C,4,MDA,Service HQ,,1,2
,,,,Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,1.0,1.0,0.3375,0.39825,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,PEO C4I,0603892C,4,MDA,Service HQ,functional_test,1,2
,,,,Title10,,Autonomy_UxS,0.0,1.0,Partner,funding,,,1.0,,,1.02,0.857345,1.0,0.375,0.386963,1.0,1.18,1,1.0,1.0,,ISR,NonKinetic,1,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,1,4
,,,,Title10,,Air_Dominance,0.0,1.0,Partner,attempt,,,1.0,,,1.02,0.857345,1.0,0.375,0.386963,1.0,1.18,1,1.0,1.0,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,None,DEVCOM,NAVY_BA4_002,36,Navy,Service HQ,,1,3
,,,,Title10,,Air_Dominance,0.0,0.75,Partner,funding,,,1.0,,,1.0,0.95,1.0,0.253125,0.283753,1.0,1.18,0,1.0,1.0,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,None,DEVCOM,NAVY_BA4_002,36,Navy,Service HQ,functional_test,1,3
,,,,Title10,,Air_Dominance,0.0,0.75,POM,attempt,,,1.0,,,1.0,0.95,1.0,0.253125,0.283753,1.0,1.18,0,1.0,1.0,,NA,Kinetic,,,,,not_conducted,,,,GovContractor,start,LM,AFLCMC,AF_BA2_002,38,Air Force,Service HQ,,1,2
,,,,Title10,,Air_Dominance,0.0,1.0,POM,funding,,,1.0,,,1.0,0.8775,1.0,0.45,0.465952,1.0,1.18,0,1.0,1.0,,NA,Kinetic,0,,,,favorable,,,,GovContractor,fail,LM,AFLCMC,AF_BA2_002,38,Air Force,Service HQ,feasibility,1,2
,,,,Title10,,C2_JADC2,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.04,0.750203,1.0,0.425,0.391276,1.0,1.18,2,1.0,1.0,,ISR,Kinetic,2,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,prototype_demo,2,4
,,,,Title10,GovLab,Autonomy_UxS,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.02,0.92625,,0.6,0.566865,,,1,1.0,,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,SAIC,DARPA,OUSD_MOD_001,2,OUSD(R&E),Agency,functional_test,2,5
,,,,Title10,,Strike,,,ProgramBase,test,0.0,1.0,1.0,0.775,,1.02,0.950625,1.0,0.63,0.473426,1.0,,1,1.0,,1.0,ISR,Kinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,SAIC,PEO C4I,0603892C,4,MDA,Service HQ,functional_test,2,3
,,,,Title10,,Maritime_Warfare,,,ProgramBase,attempt,0.0,1.0,1.0,0.775,,1.02,0.950625,1.0,0.63,0.473426,1.0,,1,1.0,,1.0,NA,Kinetic,,,,,not_conducted,favorable_with_caveats,,,GovLab,start,Leidos,AFLCMC,NAVY_BA2_001,11,Navy,Service HQ,,2,4
,,,,Title10,,Maritime_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.92625,1.0,0.5,0.546487,1.0,1.18,0,1.0,1.0,,NA,Kinetic,0,,,,not_conducted,,,,GovLab,fail,Leidos,AFLCMC,NAVY_BA2_001,11,Navy,Service HQ,feasibility,2,4
,,,,Title10,,Autonomy_UxS,0.0,1.0,Partner,funding,,,1.0,,,1.04,0.690917,1.0,0.375,0.31796,1.0,1.18,2,1.0,1.0,,ISR,NonKinetic,2,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,2,4
,,,,MFP11,,Strike,0.0,1.0,POM,attempt,,,1.0,,,1.04,0.690917,1.0,0.375,0.31796,1.0,1.18,2,1.0,1.0,,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,start,NG,NAVWAR,SOCOM_BA3_001,19,SOCOM,Service HQ,,2,2
,,,,MFP11,,Strike,,,POM,test,0.0,1.0,1.0,0.725,,1.0,0.950625,1.0,0.72,0.496226,1.0,,0,1.0,,1.0,ISR,NonKinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,NG,NAVWAR,SOCOM_BA3_001,19,SOCOM,Service HQ,prototype_demo,2,3
,,,,Title10,,Air_Dominance,0.0,0.75,Partner,funding,,,1.0,,,1.02,0.812784,1.0,0.253125,0.247624,1.0,1.18,1,1.0,1.0,,ISR,NonKinetic,1,,,,favorable,,,,Commercial,fail,None,DEVCOM,NAVY_BA4_002,36,Navy,Service HQ,functional_test,2,3
,,,,Title10,,Air_Dominance,0.0,1.0,POM,funding,,,1.0,,,1.02,0.725446,1.0,0.45,0.392916,1.0,1.18,1,1.0,1.0,,NA,Kinetic,1,,,,favorable,,,,GovContractor,fail,LM,AFLCMC,AF_BA2_002,38,Air Force,Service HQ,feasibility,2,2
,,,,Title10,,Sensors,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.02,0.725446,1.0,0.45,0.392916,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,None,AFLCMC,AF_BA3_002,39,Air Force,CCMD,,2,3
,,,,Title10,,Sensors,,,ProgramBase,test,0.0,1.0,1.0,0.725,,1.0,0.950625,1.0,0.7,0.482442,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable,favorable,,,GovLab,pass,None,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,2,4
,,,,Title10,,C2_JADC2,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.06,0.633163,1.0,0.425,0.336583,1.0,1.18,3,1.0,1.0,,ISR,Kinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,prototype_demo,3,4
,,,,Title10,,Autonomy_UxS,0.0,0.75,ProgramBase,funding,,,1.0,,,1.04,0.771103,1.0,0.3375,0.319375,1.0,1.18,2,1.0,1.0,,ISR,Kinetic,2,,,,favorable,,,,GovLab,fail,SAIC,DARPA,OUSD_MOD_001,2,OUSD(R&E),Agency,functional_test,3,5
,,,,Title10,,Strike,,,ProgramBase,test,0.0,1.0,1.0,0.775,,1.02,0.950625,1.0,0.57,0.428337,1.0,,1,1.0,,1.0,ISR,Kinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,SAIC,PEO C4I,0603892C,4,MDA,Service HQ,vulnerability_test,3,4
,,,,Title10,,Air_Dominance,,,External,attempt,0.0,1.0,1.0,0.775,,1.02,0.950625,1.0,0.57,0.428337,1.0,,1,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable_with_caveats,,,GovContractor,start,None,DEVCOM,ARMY_BA4_001,9,Army,CCMD,,3,4
,,,,Title10,,Air_Dominance,,,External,test,0.0,1.0,1.0,0.775,,1.0,0.8775,1.0,0.71,0.482844,1.0,,0,1.0,,1.0,ISR,NonKinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,GovContractor,pass,None,DEVCOM,ARMY_BA4_001,9,Army,CCMD,functional_test,3,5
,,,,Title10,,Maritime_Warfare,,,ProgramBase,test,0.0,1.0,1.0,0.675,,1.02,0.950625,1.0,0.76,0.497424,1.0,,1,1.0,,1.0,NA,Kinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,fail,Leidos,AFLCMC,NAVY_BA2_001,11,Navy,Service HQ,feasibility,3,4
,,,,Title10,,Autonomy_UxS,0.0,1.0,Partner,funding,,,1.0,,,1.06,0.548857,1.0,0.375,0.257442,1.0,1.18,3,1.0,1.0,,ISR,NonKinetic,3,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,3,4
,,,,Title10,,Test_Ranges,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.06,0.548857,1.0,0.375,0.257442,1.0,1.18,3,1.0,1.0,,NA,NonKinetic,,,,,not_conducted,,,,GovLab,start,LM,NAVWAR,NAVY_BA6_001,14,Navy,CCMD,,3,4
,,,,Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.8325,1.0,0.3375,0.331543,1.0,1.18,0,1.0,1.0,,NA,NonKinetic,0,,,,favorable,,,,GovLab,fail,LM,NAVWAR,NAVY_BA6_001,14,Navy,CCMD,operational_test,3,4
,,,,Title10,,Air_Dominance,0.0,0.75,POM,attempt,,,1.0,,,1.0,0.8325,1.0,0.3375,0.331543,1.0,1.18,0,1.0,1.0,,NA,NonKinetic,,,,,not_conducted,,,,GovLab,start,Boeing,NRL,AF_BA2_001,15,Air Force,POC-User,,3,3
,,,,Title10,GovLab,Air_Dominance,,,POM,contracting,0.0,,1.0,,1.0,1.0,0.7875,,0.6,0.4725,,,0,1.0,,,NA,NonKinetic,0,,,,favorable,,,,GovLab,fail,Boeing,NRL,AF_BA2_001,15,Air Force,POC-User,feasibility,3,3
,,,,MFP11,,Strike,0.0,0.75,POM,funding,,,1.0,,,1.02,0.787312,1.0,0.30375,0.264809,1.0,1.18,1,1.0,0.92,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,NG,NAVWAR,SOCOM_BA3_001,19,SOCOM,Service HQ,functional_test,3,3
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner_CoDev,attempt,,,1.0,,,1.02,0.787312,1.0,0.30375,0.264809,1.0,1.18,1,1.0,0.92,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,NG,DARPA,SOCOM_BA5_001,21,SOCOM,POC-User,,3,4
,,,,MFP11,,C2_JADC2,0.0,0.75,Partner_CoDev,funding,,,1.0,,,1.0,0.66825,1.0,0.286875,0.208114,1.0,1.18,0,1.0,0.92,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,NG,DARPA,SOCOM_BA5_001,21,SOCOM,POC-User,vulnerability_test,3,4
,,,,Title10,,Air_Dominance,,,Partner,test,0.0,1.0,1.0,0.775,,1.04,0.810469,1.0,0.71,0.463799,1.0,,2,1.0,,1.0,ISR,NonKinetic,2,,,,favorable,favorable,,,Commercial,pass,None,DEVCOM,NAVY_BA4_002,36,Navy,Service HQ,functional_test,3,4
,,,,Title10,GovContractor,Air_Dominance,,,POM,contracting,0.0,,1.0,,1.0,1.04,0.623437,,0.65,0.421444,,,2,1.0,,,NA,Kinetic,2,,,,favorable,,,,GovContractor,fail,LM,AFLCMC,AF_BA2_002,38,Air Force,Service HQ,feasibility,3,2
,,,,Title10,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.702,1.0,0.3375,0.285163,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA3_002,39,Air Force,CCMD,functional_test,3,4
,,,,Title10,,C2_JADC2,,,Partner_CoDev,test,0.0,1.0,1.0,0.75,,1.08,0.767813,1.0,0.7,0.43535,1.0,,4,1.0,,1.0,ISR,Kinetic,4,,,,favorable_with_caveats,favorable_with_caveats,,,GovContractor,pass,SAIC,DEVCOM,0603766E,1,DARPA,Service HQ,prototype_demo,4,5
,,,,Title10,,Autonomy_UxS,0.0,0.75,ProgramBase,funding,,,1.0,,,1.06,0.547586,1.0,0.3375,0.231161,1.0,1.18,3,1.0,1.0,,ISR,Kinetic,3,,,,favorable,,,,GovLab,fail,SAIC,DARPA,OUSD_MOD_001,2,OUSD(R&E),Agency,functional_test,4,5
,,,,Title10,,Strike,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.590484,1.0,0.3375,0.239864,1.0,1.18,1,1.0,1.0,,ISR,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,PEO C4I,0603892C,4,MDA,Service HQ,operational_test,4,4
,,,,Title10,GovContractor,Air_Dominance,,,External,contracting,0.0,,1.0,,1.0,1.02,0.61625,,0.65,0.408574,,,1,1.0,,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,GovContractor,fail,None,DEVCOM,ARMY_BA4_001,9,Army,CCMD,vulnerability_test,4,5
,,,,Title10,GovLab,Maritime_Warfare,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.04,0.654312,,0.6,0.408291,,,2,1.0,,,NA,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,AFLCMC,NAVY_BA2_001,11,Navy,Service HQ,feasibility,4,4
,,,,Title10,GovContractor,Autonomy_UxS,,,Partner,contracting,0.0,,1.0,,1.0,1.08,0.51975,,0.65,0.364864,,,4,1.0,,,ISR,NonKinetic,4,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,4,4
,,,,Title10,GovLab,Test_Ranges,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.02,0.665438,,0.6,0.407248,,,1,1.0,,,NA,NonKinetic,1,,,,favorable,,,,GovLab,fail,LM,NAVWAR,NAVY_BA6_001,14,Navy,CCMD,operational_test,4,4
