authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,External,attempt,,,,GEOINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Leidos,NRL,proj-15,15,Space Force,Service HQ,,0,4
Title50,,Space,,External,test,1.0,0.76,0.76,GEOINT,NonKinetic,0,,,,favorable,favorable,,Commercial,pass,Leidos,NRL,proj-15,15,Space Force,Service HQ,feasibility,0,5
Title50,,Space,,External,test,1.0,0.76,0.76,GEOINT,NonKinetic,0,,,,favorable,favorable,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,feasibility,0,5
Title50,,Space,1.0,External,funding,0.95,0.32,0.304,GEOINT,NonKinetic,1,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,1,5
Title10,,ISR,1.0,Partner,attempt,0.95,0.32,0.304,GEOINT,Kinetic,,,,,not_conducted,,,GovLab,start,Leidos,NAVWAR,proj-27,27,Space Force,Agency,,1,2
Title10,,ISR,1.0,Partner,funding,1.0,0.3,0.3,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,1,2
Title50,,Space,1.0,UFR,attempt,1.0,0.3,0.3,OSINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Boeing,NRL,proj-31,31,Space Force,CCMD,,1,3
Title50,Commercial,Space,,UFR,contracting,0.95,0.6,0.57,OSINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,1,3
Title50,Commercial,Land,,Partner,attempt,0.95,0.6,0.57,MASINT,NonKinetic,,,,,not_conducted,,,GovLab,start,SAIC,DARPA,proj-3,3,Navy,POC-User,,2,2
Title50,,Land,,Partner,test,0.95,0.73,0.6935,MASINT,NonKinetic,0,,,,favorable,favorable,,GovLab,pass,SAIC,DARPA,proj-3,3,Navy,POC-User,feasibility,2,3
Title50,,Land,,Partner,test,0.95,0.73,0.6935,MASINT,NonKinetic,0,,,,favorable,favorable,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,feasibility,2,3
Title10,,Land,,UFR,attempt,0.95,0.73,0.6935,HUMINT,NonKinetic,,,,,not_conducted,favorable,,GovContractor,start,SAIC,DEVCOM,proj-6,6,Space Force,Agency,,2,4
Title10,,Land,,UFR,legal,,,,HUMINT,NonKinetic,0,0.30075,0.5275,0.145,unfavorable,,0.12175,GovContractor,unfavorable,SAIC,DEVCOM,proj-6,6,Space Force,Agency,feasibility,2,4
Title50,,Space,1.0,External,funding,0.7695,0.32,0.24624,GEOINT,NonKinetic,2,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,2,5
Title10,,ISR,1.0,Partner,funding,0.857375,0.3,0.257213,GEOINT,Kinetic,1,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,2,2
Title50,,Space,1.0,UFR,funding,0.8075,0.28,0.2261,OSINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,2,3
Title50,,Space,1.0,UFR,attempt,0.8075,0.28,0.2261,MASINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Boeing,DEVCOM,proj-39,39,IC,Agency,,2,2
Title50,,Space,,UFR,legal,,,,MASINT,NonKinetic,0,0.387375,0.40375,0.1925,unfavorable,,0.158875,Commercial,unfavorable,Boeing,DEVCOM,proj-39,39,IC,Agency,feasibility,2,2
Title50,,Space,1.0,External,funding,0.612,0.32,0.19584,GEOINT,NonKinetic,3,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,3,5
Title10,GovLab,ISR,,Partner,contracting,0.81,0.6,0.486,GEOINT,Kinetic,2,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,3,2
Title50,,Space,1.0,UFR,funding,0.64125,0.28,0.17955,OSINT,NonKinetic,2,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,3,3
Title50,,Land,1.0,Partner,funding,0.72675,0.3,0.218025,MASINT,NonKinetic,2,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,prototype_demo,4,3
Title50,,Space,1.0,External,funding,0.476,0.32,0.15232,GEOINT,NonKinetic,4,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,4,5
Title10,,ISR,1.0,Partner,funding,0.578,0.3,0.1734,GEOINT,Kinetic,3,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,4,2
Title50,,Space,1.0,UFR,funding,0.5355,0.28,0.14994,OSINT,NonKinetic,3,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,4,3
Title50,,Air,1.0,POM,attempt,0.5355,0.28,0.14994,SIGINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,SAIC,NRL,proj-34,34,USMC,POC-User,,4,4
Title50,,Air,1.0,POM,funding,1.0,0.36,0.36,SIGINT,NonKinetic,0,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-34,34,USMC,POC-User,feasibility,4,4
Title50,,Land,1.0,Partner,funding,0.54,0.3,0.162,MASINT,NonKinetic,3,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,prototype_demo,5,3
Title50,,Space,1.0,External,funding,0.42,0.32,0.1344,GEOINT,NonKinetic,5,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,5,5
Title10,,ISR,,Partner,test,0.8,0.65,0.52,GEOINT,Kinetic,4,,,,favorable_with_caveats,favorable_with_caveats,,GovLab,pass,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,5,3
Title10,,ISR,,Partner,test,0.8,0.65,0.52,GEOINT,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,feasibility,5,3
Title50,,Space,1.0,UFR,funding,0.476,0.28,0.13328,OSINT,NonKinetic,4,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,5,3
Title50,,Air,1.0,POM,funding,0.857375,0.36,0.308655,SIGINT,NonKinetic,1,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-34,34,USMC,POC-User,feasibility,5,4
Title50,,Land,1.0,Partner,funding,0.44625,0.3,0.133875,MASINT,NonKinetic,4,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,prototype_demo,6,3
Title50,,Air,1.0,External,attempt,0.44625,0.3,0.133875,HUMINT,NonKinetic,,,,,not_conducted,,,Commercial,start,SAIC,AFLCMC,proj-7,7,Space Force,Service HQ,,6,2
Title50,,Air,,External,legal,,,,HUMINT,NonKinetic,0,0.404,0.38,0.24,unfavorable,,0.166,Commercial,unfavorable,SAIC,AFLCMC,proj-7,7,Space Force,Service HQ,feasibility,6,2
Title10,,Cyber,,ProgramBase,attempt,,,,MASINT,NonKinetic,,0.404,0.38,0.24,not_conducted,,0.166,Commercial,start,None,AFLCMC,proj-9,9,Army,Service HQ,,6,3
Title10,,Cyber,,ProgramBase,legal,,,,MASINT,NonKinetic,0,0.350625,0.45625,0.2875,unfavorable,,0.143125,Commercial,unfavorable,None,AFLCMC,proj-9,9,Army,Service HQ,feasibility,6,3
Title50,Commercial,Space,,External,contracting,0.49,0.6,0.294,GEOINT,NonKinetic,6,,,,favorable,,,Commercial,fail,Leidos,NRL,proj-15,15,Space Force,Service HQ,prototype_demo,6,5
Title10,,ISR,1.0,Partner,funding,0.3675,0.3,0.11025,GEOINT,Kinetic,1,,,,favorable_with_caveats,,,GovLab,fail,Leidos,NAVWAR,proj-27,27,Space Force,Agency,prototype_demo,6,3
Title50,,Space,1.0,UFR,funding,0.42,0.28,0.1176,OSINT,NonKinetic,5,,,,favorable_with_caveats,,,Commercial,fail,Boeing,NRL,proj-31,31,Space Force,CCMD,feasibility,6,3
Title10,,Maritime,1.0,Partner,attempt,0.42,0.28,0.1176,GEOINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,NG,NRL,proj-32,32,Space Force,Service HQ,,6,4
Title10,,Maritime,1.0,Partner,funding,0.63,0.3,0.189,GEOINT,NonKinetic,0,,,,favorable_with_caveats,,,GovContractor,fail,NG,NRL,proj-32,32,Space Force,Service HQ,feasibility,6,4
Title50,GovContractor,Air,,POM,contracting,0.765,0.65,0.49725,SIGINT,NonKinetic,2,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-34,34,USMC,POC-User,feasibility,6,4
Title50,GovLab,Land,,Partner,contracting,0.56,0.6,0.336,MASINT,NonKinetic,5,,,,favorable,,,GovLab,fail,SAIC,DARPA,proj-3,3,Navy,POC-User,prototype_demo,7,3
