adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,Missile_Defense,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,,0,4
,,,,Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,1.0,1.0,0.2625,0.27258,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,0,4
,,,,Title10,,Missile_Defense,,,ProgramBase,test,0.0,1.0,1.0,0.775,,1.02,0.9025,1.0,0.61,0.43519,1.0,,1,1.0,,1.0,ISR,NonKinetic,1,,,,favorable,favorable,,,GovContractor,pass,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,1,5
,,,,Title10,,Test_Ranges,,,ProgramBase,attempt,0.0,1.0,1.0,0.775,,1.02,0.9025,1.0,0.61,0.43519,1.0,,1,1.0,,1.0,NA,Kinetic,,,,,not_conducted,favorable,,,GovLab,start,None,AFLCMC,NAVY_BA6_001,14,Navy,CCMD,,1,4
,,,,Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.95,1.0,0.2625,0.258951,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable,,,,GovLab,fail,None,AFLCMC,NAVY_BA6_001,14,Navy,CCMD,operational_test,1,4
,,,,Title10;Title50,,CBRNE,0.0,0.75,POM,attempt,,,1.0,,,1.0,0.95,1.0,0.2625,0.258951,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,,1,2
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.0,1.0,1.0,0.36,0.373824,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,1,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,1.0,1.0,0.36,0.373824,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,,1,4
,,,,Title10;Title50,Commercial,Sensors,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,0.95,,0.6,0.57,,,0,1.0,,,CBRNE,Kinetic,0,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,1,4
,,,,MIP,Commercial,ISR,,,POM,attempt,0.0,,1.0,,1.0,1.0,0.95,,0.6,0.57,,,0,1.0,,,MultiINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,,1,3
,,,,MIP,,ISR,0.0,1.0,POM,funding,,,1.0,,,1.0,0.9025,1.0,0.36,0.306706,1.0,1.18,0,1.0,0.8,,MultiINT,NonKinetic,0,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,prototype_demo,1,3
,,,,Title10,,Missile_Defense,,,ProgramBase,test,0.0,1.0,1.0,0.775,,1.02,0.9025,1.0,0.59,0.420921,1.0,,1,1.0,,1.0,ISR,NonKinetic,1,,,,favorable,favorable,,,GovContractor,pass,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,operational_test,2,7
0.6,1,1.0,1.0,Title10,,Missile_Defense,,,ProgramBase,adoption,,,,,,,,,,0.77,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,success,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,,2,7
,,,,Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.771637,1.0,0.2625,0.21454,1.0,1.18,1,1.0,0.88,,NA,Kinetic,1,,,,favorable,,,,GovLab,fail,None,AFLCMC,NAVY_BA6_001,14,Navy,CCMD,operational_test,2,4
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.02,0.731025,1.0,0.36,0.27874,1.0,1.18,1,1.0,0.88,,CBRNE,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,2,2
,,,,Title10;Title50,Commercial,Sensors,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.02,0.767125,,0.6,0.46948,,,1,1.0,,,CBRNE,Kinetic,1,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,2,4
,,,,MIP,,ISR,0.0,1.0,POM,funding,,,1.0,,,1.02,0.690412,1.0,0.36,0.239322,1.0,1.18,1,1.0,0.8,,MultiINT,NonKinetic,1,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,prototype_demo,2,3
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,attempt,,,1.0,,,1.02,0.690412,1.0,0.36,0.239322,1.0,1.18,1,1.0,0.8,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,,2,4
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.0,0.81,1.0,0.34,0.285975,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,2,4
,,,,Title10,,Land_Warfare,0.0,1.0,Partner_CoDev,attempt,,,1.0,,,1.0,0.81,1.0,0.34,0.285975,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,NAVWAR,ARMY_BA3_001,8,Army,CCMD,,3,3
,,,,Title10,,Land_Warfare,,,Partner_CoDev,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.28,0.55,0.0,unfavorable,,1.0,0.12,GovLab,unfavorable,Leidos,NAVWAR,ARMY_BA3_001,8,Army,CCMD,prototype_demo,3,3
,,,,Title10,,Test_Ranges,,,ProgramBase,test,0.0,1.0,1.0,0.8,,1.04,0.7695,1.0,0.51,0.326514,1.0,,2,1.0,,1.0,NA,Kinetic,2,,,,favorable,favorable,,,GovLab,pass,None,AFLCMC,NAVY_BA6_001,14,Navy,CCMD,operational_test,3,6
0.6,1,1.0,1.0,Title10,,Test_Ranges,,,ProgramBase,adoption,,,,,,,,,,0.77,,,,,,,NA,Kinetic,,,,,not_conducted,,,,GovLab,success,None,AFLCMC,NAVY_BA6_001,14,Navy,CCMD,,3,6
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.04,0.5184,1.0,0.36,0.201542,1.0,1.18,2,1.0,0.88,,CBRNE,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,3,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.487687,1.0,0.4,0.210669,1.0,1.18,2,1.0,0.88,,CBRNE,Kinetic,2,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,3,4
,,,,MIP,,ISR,0.0,1.0,POM,funding,,,1.0,,,1.04,0.516375,1.0,0.36,0.182504,1.0,1.18,2,1.0,0.8,,MultiINT,NonKinetic,2,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,prototype_demo,3,3
,,,,Title10,,EW,0.0,1.0,Partner,attempt,,,1.0,,,1.04,0.516375,1.0,0.36,0.182504,1.0,1.18,2,1.0,0.8,,SIGINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,,3,2
,,,,Title10,GovContractor,EW,,,Partner,contracting,0.0,,1.0,,1.0,1.0,0.8,,0.65,0.52,,,0,1.0,,,SIGINT,NonKinetic,0,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,3,2
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.02,0.6137,1.0,0.34,0.221004,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,3,4
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.06,0.4,1.0,0.36,0.158501,1.0,1.18,3,1.0,0.88,,CBRNE,Kinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,4,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.4,1.0,0.4,0.176113,1.0,1.18,3,1.0,0.88,,CBRNE,Kinetic,3,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,4,4
,,,,MIP,,ISR,,,POM,test,0.0,1.0,1.0,0.725,,1.06,0.7225,1.0,0.68,0.377564,1.0,,3,1.0,,1.0,MultiINT,NonKinetic,3,,,,favorable,favorable,,,GovContractor,pass,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,prototype_demo,4,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.02,0.676875,1.0,0.196875,0.141144,1.0,1.18,1,1.0,0.88,,SIGINT,NonKinetic,1,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,4,2
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.04,0.4536,1.0,0.34,0.166552,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,4,4
,,,,Title10;Title50,Commercial,CBRNE,,,POM,contracting,0.0,,1.0,,1.0,1.08,0.448,,0.6,0.290304,,,4,1.0,,,CBRNE,Kinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,5,2
,,,,Title10;Title50,Commercial,Sensors,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.08,0.4,,0.6,0.2592,,,4,1.0,,,CBRNE,Kinetic,4,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,5,4
,,,,MIP,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.02,0.4,1.0,0.23625,0.090992,1.0,1.18,1,1.0,0.8,,MultiINT,NonKinetic,1,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,functional_test,5,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.04,0.53865,1.0,0.196875,0.114524,1.0,1.18,2,1.0,0.88,,SIGINT,NonKinetic,2,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,5,2
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.06,0.4,1.0,0.34,0.149696,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,5,4
,,,,Title10,,C2_JADC2,0.0,1.0,UFR,attempt,,,1.0,,,1.06,0.4,1.0,0.34,0.149696,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,,6,2
,,,,Title10,,C2_JADC2,0.0,0.75,UFR,funding,,,1.0,,,1.0,0.7,1.0,0.18375,0.133564,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,vulnerability_test,6,2
,,,,Title10;Title50,,CBRNE,0.0,1.0,POM,funding,,,1.0,,,1.1,0.4,1.0,0.36,0.164483,1.0,1.18,5,1.0,0.88,,CBRNE,Kinetic,5,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,6,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.1,0.4,1.0,0.4,0.182758,1.0,1.18,5,1.0,0.88,,CBRNE,Kinetic,5,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,6,4
,,,,MIP,,ISR,0.0,0.75,POM,funding,,,1.0,,,1.04,0.4,1.0,0.23625,0.092776,1.0,1.18,2,1.0,0.8,,MultiINT,NonKinetic,2,,,,favorable,,,,GovContractor,fail,NG,DEVCOM,MIP_SENS_001,29,Defense Intel,POC-User,functional_test,6,4
,,,,Title10,,EW,0.0,0.75,Partner,funding,,,1.0,,,1.06,0.455175,1.0,0.196875,0.098637,1.0,1.18,3,1.0,0.88,,SIGINT,NonKinetic,3,,,,favorable,,,,GovContractor,fail,Boeing,NAVWAR,ARMY_BA5_002,32,Army,Service HQ,vulnerability_test,6,2
,,,,Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.08,0.4,1.0,0.34,0.15252,1.0,1.18,4,1.0,0.88,,ISR,Kinetic,4,,,,favorable_with_caveats,,,,GovLab,fail,NG,AFLCMC,AF_BA3_002,39,Air Force,CCMD,prototype_demo,6,4
,,,,Title10,,Missile_Defense,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.08,0.4,1.0,0.34,0.15252,1.0,1.18,4,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,,7,7
,,,,Title10,,Missile_Defense,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.442225,1.0,0.2625,0.024108,1.0,1.18,0,0.2,0.88,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,Boeing,NAVWAR,0603888C,5,MDA,Service HQ,vulnerability_test,7,7
,,,,Title10,,C2_JADC2,0.0,0.75,UFR,funding,,,1.0,,,1.02,0.600162,1.0,0.18375,0.116805,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,GovLab,fail,None,AFLCMC,AF_BA5_001,18,Air Force,Agency,vulnerability_test,7,2
,,,,Title10;Title50,Commercial,CBRNE,,,POM,contracting,0.0,,1.0,,1.0,1.12,0.4,,0.6,0.2688,,,6,1.0,,,CBRNE,Kinetic,6,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DARPA,DTRA_BA2_001,22,DTRA,POC-User,feasibility,7,2
,,,,Title10;Title50,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.12,0.4,1.0,0.4,0.186081,1.0,1.18,6,1.0,0.88,,CBRNE,Kinetic,6,,,,favorable,,,,Commercial,fail,NG,AFLCMC,DTRA_BA3_001,23,DTRA,Service HQ,prototype_demo,7,4
