authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Maritime,,Partner,attempt,,,,,,,,,,HUMINT,Kinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,NAVWAR,proj-26,26,Navy,POC-User,,0,4
Title50,,Maritime,1.0,Partner,funding,,,1.0,1.0,0.3,0.24,1.0,1.0,0.8,HUMINT,Kinetic,0,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,0,4
Title50,,Maritime,1.0,Partner,funding,,,0.814506,1.0,0.3,0.195482,1.0,1.0,0.8,HUMINT,Kinetic,1,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,1,4
Title50,,Maritime,1.0,Partner,attempt,,,0.814506,1.0,0.3,0.195482,1.0,1.0,0.8,GEOINT,Kinetic,,,,,not_conducted,,,,GovLab,start,NG,DEVCOM,proj-1,1,USMC,Agency,,2,2
Title50,,Maritime,,Partner,legal,,,,,,,,,,GEOINT,Kinetic,0,0.385,0.4,0.1,unfavorable,,1.0,0.165,GovLab,unfavorable,NG,DEVCOM,proj-1,1,USMC,Agency,feasibility,2,2
Title10,,Air,,Partner,attempt,,,,,,,,,,GEOINT,NonKinetic,,0.385,0.4,0.1,not_conducted,,1.0,0.165,Commercial,start,NG,NAVWAR,proj-17,17,Army,CCMD,,2,2
Title10,,Air,1.0,Partner,funding,,,0.9,1.0,0.3,0.216,1.0,1.0,0.8,GEOINT,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,proj-17,17,Army,CCMD,feasibility,2,2
Title50,,Maritime,1.0,Partner,funding,,,0.585225,1.0,0.3,0.140454,1.0,1.0,0.8,HUMINT,Kinetic,2,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,2,4
Title10,,Air,,Partner,test,1.0,0.5,0.9025,1.0,0.7,0.315875,1.0,1.0,,GEOINT,NonKinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,,Commercial,fail,NG,NAVWAR,proj-17,17,Army,CCMD,feasibility,3,2
Title50,,Maritime,1.0,Partner,funding,,,0.4624,1.0,0.3,0.110976,1.0,1.0,0.8,HUMINT,Kinetic,3,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,3,4
Title50,,Land,1.0,POM,attempt,,,0.4624,1.0,0.3,0.110976,1.0,1.0,0.8,MASINT,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,AFLCMC,proj-32,32,Air Force,POC-User,,3,3
Title50,,Land,,POM,legal,,,,,,,,,,MASINT,Kinetic,0,0.384125,0.40125,0.0975,unfavorable,,1.0,0.164625,GovLab,unfavorable,LM,AFLCMC,proj-32,32,Air Force,POC-User,feasibility,3,3
Title10,Commercial,Air,,Partner,contracting,,,0.7695,,0.6,0.4617,,1.0,,GEOINT,NonKinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,proj-17,17,Army,CCMD,feasibility,4,2
Title50,,Maritime,1.0,Partner,funding,,,0.36,1.0,0.3,0.0864,1.0,1.0,0.8,HUMINT,Kinetic,4,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,4,4
Title10,,Air,1.0,Partner,funding,,,0.455175,1.0,0.3,0.109242,1.0,1.0,0.8,GEOINT,NonKinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,proj-17,17,Army,CCMD,feasibility,5,2
Title50,,Maritime,1.0,Partner,funding,,,0.275625,1.0,0.3,0.06615,1.0,1.0,0.8,HUMINT,Kinetic,5,,,,favorable,,,,GovContractor,fail,SAIC,NAVWAR,proj-26,26,Navy,POC-User,feasibility,5,4
Title10,,Air,1.0,Partner,funding,,,0.3808,1.0,0.3,0.091392,1.0,1.0,0.8,GEOINT,NonKinetic,4,,,,favorable_with_caveats,,,,Commercial,fail,NG,NAVWAR,proj-17,17,Army,CCMD,feasibility,6,2
