authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Maritime_Warfare,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,NA,NonKinetic,,,,,not_conducted,,,,GovContractor,start,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,,0,4
Title10,,Maritime_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,1.0,1.0,0.4,0.41536,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,feasibility,0,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,1.0,1.0,0.4,0.41536,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,start,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,,0,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.95,1.0,0.4,0.394592,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,0,2
Title10,,C2_JADC2,0.0,1.0,POM,attempt,,,1.0,,,1.0,0.95,1.0,0.4,0.394592,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,,0,3
Title10,,C2_JADC2,0.0,0.75,POM,funding,,,1.0,,,1.0,1.0,1.0,0.23625,0.245322,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,0,3
Title10,,Foundational_Science,0.0,0.75,External,attempt,,,1.0,,,1.0,1.0,1.0,0.23625,0.245322,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,GovLab,start,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,,1,4
Title10,,Foundational_Science,,,External,legal,,,,,,,,,,,,,,,,,NA,NonKinetic,0,0.25,0.6,0.0,unfavorable,,1.0,0.1,GovLab,unfavorable,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,feasibility,1,4
Title10,,Maritime_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.771637,1.0,0.4,0.326917,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,1,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,feasibility,1,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.02,0.728769,1.0,0.4,0.308755,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,1,2
Title10,,C2_JADC2,0.0,0.75,POM,funding,,,1.0,,,1.02,0.814506,1.0,0.23625,0.203813,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,1,3
Title10,,Maritime_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.04,0.5832,1.0,0.4,0.251927,1.0,1.18,2,1.0,0.88,,NA,NonKinetic,2,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,feasibility,2,4
Title10,GovLab,Air_Dominance,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.04,0.729,,0.6,0.454896,,,2,1.0,,,ISR,NonKinetic,2,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,2,2
Title10,GovLab,Sensors,,,Partner_CoDev,attempt,0.0,,1.0,,1.0,1.04,0.729,,0.6,0.454896,,,2,1.0,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,NAVY_BA3_002,35,Navy,CCMD,,2,4
Title10,,Sensors,0.0,1.0,Partner_CoDev,funding,,,1.0,,,1.0,0.9,1.0,0.34,0.31775,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,LM,DEVCOM,NAVY_BA3_002,35,Navy,CCMD,prototype_demo,2,4
Title10,Commercial,C2_JADC2,,,POM,contracting,0.0,,1.0,,1.0,1.04,0.6885,,0.6,0.429624,,,2,1.0,,,ISR,NonKinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,2,3
Title10,,Maritime_Warfare,0.0,1.0,ProgramBase,funding,,,1.0,,,1.06,0.460594,1.0,0.4,0.202791,1.0,1.18,3,1.0,0.88,,NA,NonKinetic,3,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,feasibility,3,4
