authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,Partner,attempt,,,,,,,,,,SIGINT,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,PEO C4I,PE-TEST-002,31,Navy,CCMD,,0,2
Title50,,Space,1.0,Partner,funding,,,1.0,1.0,0.3,0.2256,1.0,0.8,0.94,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,PEO C4I,PE-TEST-002,31,Navy,CCMD,prototype_demo,0,2
Title50,,Space,1.0,Partner,funding,,,0.814506,1.0,0.3,0.183753,1.0,0.8,0.94,SIGINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,PEO C4I,PE-TEST-002,31,Navy,CCMD,prototype_demo,1,2
Title10,,EW,1.0,POM,attempt,,,0.814506,1.0,0.3,0.183753,1.0,0.8,0.94,GEOINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,LM,AFLCMC,PE-TEST-003,35,Air Force,CCMD,,1,3
Title10,,EW,,POM,legal,,,,,,,,,,GEOINT,NonKinetic,0,0.32,0.5,0.2,unfavorable,,0.8,0.13,GovContractor,unfavorable,LM,AFLCMC,PE-TEST-003,35,Air Force,CCMD,functional_test,1,3
Title50,,Space,1.0,Partner,funding,,,0.6561,1.0,0.3,0.148016,1.0,0.8,0.94,SIGINT,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,PEO C4I,PE-TEST-002,31,Navy,CCMD,prototype_demo,2,2
Title50,,Maritime,1.0,Partner_CoDev,attempt,,,0.6561,1.0,0.3,0.148016,1.0,0.8,0.94,HUMINT,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,AFLCMC,PE-TEST-002,34,Navy,Service HQ,,2,3
Title50,,Maritime,1.0,Partner_CoDev,funding,,,0.7225,1.0,0.34,0.184729,1.0,0.8,0.94,HUMINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,PE-TEST-002,34,Navy,Service HQ,prototype_demo,2,3
Title10,,EW,1.0,Partner_CoDev,attempt,,,0.7225,1.0,0.34,0.184729,1.0,0.8,0.94,GEOINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,None,AFLCMC,PE-TEST-003,2,Air Force,Service HQ,,3,2
Title10,,EW,,Partner_CoDev,legal,,,,,,,,,,GEOINT,NonKinetic,0,0.384923,0.407253,0.385494,unfavorable,,0.8,0.157824,GovContractor,unfavorable,None,AFLCMC,PE-TEST-003,2,Air Force,Service HQ,functional_test,3,2
Title50,,Cyber,,POM,attempt,,,,,,,,,,SIGINT,Kinetic,,0.384923,0.407253,0.385494,not_conducted,,0.8,0.157824,GovLab,start,SAIC,DEVCOM,PE-TEST-003,14,Air Force,Service HQ,,3,3
Title50,,Cyber,0.75,POM,funding,,,0.9,1.0,0.23625,0.18711,1.0,0.8,1.1,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,PE-TEST-003,14,Air Force,Service HQ,functional_test,3,3
Title10,,Land,0.75,ProgramBase,attempt,,,0.9,1.0,0.23625,0.18711,1.0,0.8,1.1,GEOINT,Kinetic,,,,,not_conducted,,,,GovLab,start,None,PEO C4I,PE-TEST-003,17,Air Force,Agency,,3,2
Title10,,Land,0.75,ProgramBase,funding,,,0.8075,1.0,0.2625,0.186532,1.0,0.8,1.1,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,None,PEO C4I,PE-TEST-003,17,Air Force,Agency,functional_test,3,2
Title50,,Space,1.0,Partner,funding,,,0.4624,1.0,0.3,0.104317,1.0,0.8,0.94,SIGINT,Kinetic,3,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,PEO C4I,PE-TEST-002,31,Navy,CCMD,prototype_demo,3,2
Title50,,Maritime,1.0,Partner_CoDev,funding,,,0.507656,1.0,0.34,0.129798,1.0,0.8,0.94,HUMINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,PE-TEST-002,34,Navy,Service HQ,prototype_demo,3,3
Title50,,Maritime,1.0,ProgramBase,attempt,,,0.507656,1.0,0.34,0.129798,1.0,0.8,0.94,HUMINT,Kinetic,,,,,not_conducted,,,,GovLab,start,Boeing,NRL,PE-TEST-002,7,Navy,Service HQ,,4,2
