authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,C2_JADC2,,,ProgramBase,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,,0,2
Title10,Commercial,C2_JADC2,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,0,2
Title10,Commercial,Sensors,,,Partner_CoDev,attempt,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,,0,3
Title10,,Sensors,,,Partner_CoDev,legal,,,,,,,,,,,,,,,,,ISR,NonKinetic,0,0.25,0.6,0.0,unfavorable,,1.0,0.1,Commercial,unfavorable,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,prototype_demo,0,3
Title10,Commercial,C2_JADC2,,,ProgramBase,contracting,0.0,,1.0,,1.0,1.02,0.857375,,0.6,0.524713,,,1,1.0,,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,None,AFLCMC,ARMY_BA5_001,10,Army,Service HQ,vulnerability_test,1,2
MIP,Commercial,ISR,,,External,attempt,0.0,,1.0,,1.0,1.02,0.857375,,0.6,0.524713,,,1,1.0,,,MultiINT,Kinetic,,,,,not_conducted,,,,GovLab,start,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,,1,2
MIP,GovLab,ISR,,,External,contracting,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,MultiINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NAVWAR,MIP_SENS_001,29,Defense Intel,Agency,prototype_demo,1,2
Title10,GovLab,C2_JADC2,,,Partner,attempt,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,NRL,NAVY_BA5_001,37,Navy,POC-User,,1,3
Title10,,C2_JADC2,,,Partner,legal,,,,,,,,,,,,,,,,,ISR,Kinetic,0,0.33075,0.4775,0.145,unfavorable,,1.0,0.14175,GovLab,unfavorable,LM,NRL,NAVY_BA5_001,37,Navy,POC-User,vulnerability_test,1,3
Title10,,Sensors,,,Partner_CoDev,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,0.33075,0.4775,0.145,unfavorable,,1.0,0.14175,Commercial,start,NG,NAVWAR,AF_BA3_002,39,Air Force,Agency,,1,3
