authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,EW,,POM,attempt,,,,,,,,,,OSINT,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,proj-12,12,USMC,CCMD,,0,2
Title50,Commercial,EW,,POM,contracting,,,1.0,,0.6,0.6,,1.0,,OSINT,NonKinetic,0,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-12,12,USMC,CCMD,feasibility,0,2
Title50,Commercial,ISR,,ProgramBase,attempt,,,1.0,,0.6,0.6,,1.0,,SIGINT,Kinetic,,,,,not_conducted,,,,Commercial,start,Boeing,NRL,proj-23,23,Army,Agency,,0,4
Title50,,ISR,1.0,ProgramBase,funding,,,0.95,1.0,0.4,0.304,1.0,1.0,0.8,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,proj-23,23,Army,Agency,feasibility,0,4
Title50,,Land,1.0,ProgramBase,attempt,,,0.95,1.0,0.4,0.304,1.0,1.0,0.8,GEOINT,Kinetic,,,,,not_conducted,,,,GovLab,start,LM,NAVWAR,proj-3,3,Space Force,Service HQ,,1,3
Title50,,Land,1.0,ProgramBase,funding,,,0.95,1.0,0.4,0.304,1.0,1.0,0.8,GEOINT,Kinetic,0,,,,favorable,,,,GovLab,fail,LM,NAVWAR,proj-3,3,Space Force,Service HQ,feasibility,1,3
Title10,,Space,1.0,Partner_CoDev,attempt,,,0.95,1.0,0.4,0.304,1.0,1.0,0.8,MASINT,Kinetic,,,,,not_conducted,,,,GovLab,start,SAIC,NRL,proj-7,7,Air Force,Service HQ,,1,4
Title10,,Space,,Partner_CoDev,test,1.0,0.5,1.0,1.0,0.68,0.34,1.0,1.0,,MASINT,Kinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,,GovLab,pass,SAIC,NRL,proj-7,7,Air Force,Service HQ,feasibility,1,5
Title50,,EW,1.0,POM,funding,,,0.81225,1.0,0.36,0.233928,1.0,1.0,0.8,OSINT,NonKinetic,1,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-12,12,USMC,CCMD,feasibility,1,2
Title50,Commercial,ISR,,ProgramBase,contracting,,,0.767125,,0.6,0.460275,,1.0,,SIGINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,proj-23,23,Army,Agency,feasibility,1,4
Title50,,Land,1.0,ProgramBase,funding,,,0.771637,1.0,0.4,0.246924,1.0,1.0,0.8,GEOINT,Kinetic,1,,,,favorable,,,,GovLab,fail,LM,NAVWAR,proj-3,3,Space Force,Service HQ,feasibility,2,3
Title10,,Space,1.0,POM,attempt,,,0.771637,1.0,0.4,0.246924,1.0,1.0,0.8,GEOINT,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DEVCOM,proj-4,4,IC,CCMD,,2,3
Title10,Commercial,Space,,POM,contracting,,,0.8,,0.6,0.48,,1.0,,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,DEVCOM,proj-4,4,IC,CCMD,feasibility,2,3
Title10,,Space,1.0,Partner_CoDev,funding,,,0.855,1.0,0.34,0.23256,1.0,1.0,0.8,MASINT,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NRL,proj-7,7,Air Force,Service HQ,prototype_demo,2,5
Title50,,EW,1.0,POM,funding,,,0.577125,1.0,0.36,0.166212,1.0,1.0,0.8,OSINT,NonKinetic,2,,,,favorable,,,,Commercial,fail,LM,DEVCOM,proj-12,12,USMC,CCMD,feasibility,2,2
Title10,,ISR,1.0,UFR,attempt,,,0.577125,1.0,0.36,0.166212,1.0,1.0,0.8,MASINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,Boeing,NRL,proj-19,19,Space Force,CCMD,,2,2
Title10,,ISR,1.0,UFR,funding,,,0.765,1.0,0.28,0.17136,1.0,1.0,0.8,MASINT,NonKinetic,0,,,,favorable,,,,GovLab,fail,Boeing,NRL,proj-19,19,Space Force,CCMD,feasibility,2,2
Title50,,ISR,1.0,ProgramBase,funding,,,0.455175,1.0,0.4,0.145656,1.0,1.0,0.8,SIGINT,Kinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,Boeing,NRL,proj-23,23,Army,Agency,feasibility,2,4
Title50,,EW,1.0,Partner,attempt,,,0.455175,1.0,0.4,0.145656,1.0,1.0,0.8,GEOINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Boeing,DEVCOM,proj-24,24,Air Force,Agency,,2,2
Title50,GovContractor,EW,,Partner,contracting,,,0.85,,0.65,0.5525,,1.0,,GEOINT,NonKinetic,0,,,,favorable,,,,GovContractor,fail,Boeing,DEVCOM,proj-24,24,Air Force,Agency,feasibility,2,2
Title10,GovContractor,Air,,POM,attempt,,,0.85,,0.65,0.5525,,1.0,,HUMINT,Kinetic,,,,,not_conducted,,,,GovLab,start,NG,NRL,proj-31,31,USMC,CCMD,,2,3
