authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,Partner,attempt,,,,,,,,,,SIGINT,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,,0,2
Title50,,Space,1.0,Partner,funding,,,1.0,1.0,0.3,0.252,1.0,1.0,0.84,SIGINT,Kinetic,0,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,prototype_demo,0,2
Title50,,Space,1.0,Partner,funding,,,0.814506,1.0,0.3,0.205256,1.0,1.0,0.84,SIGINT,Kinetic,1,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,prototype_demo,1,2
Title10,,EW,1.0,POM,attempt,,,0.814506,1.0,0.3,0.205256,1.0,1.0,0.84,GEOINT,NonKinetic,,,,,not_conducted,,,,GovContractor,start,LM,AFLCMC,USAF-BA2-0602202F,35,Air Force,CCMD,,1,3
Title10,,EW,,POM,legal,,,,,,,,,,GEOINT,NonKinetic,0,0.25,0.6,0.0,unfavorable,,1.0,0.1,GovContractor,unfavorable,LM,AFLCMC,USAF-BA2-0602202F,35,Air Force,CCMD,feasibility,1,3
Title50,,Space,,Partner,test,0.75,0.65,0.81,1.0,0.63,0.248771,1.0,1.0,,SIGINT,Kinetic,2,,,,favorable,favorable,,,Commercial,pass,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,prototype_demo,2,3
Title50,,Space,,Partner,test,0.75,0.65,0.81,1.0,0.63,0.248771,1.0,1.0,,SIGINT,Kinetic,0,,,,favorable,favorable,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,prototype_demo,2,3
Title10,,EW,,Partner_CoDev,attempt,0.75,0.65,0.81,1.0,0.63,0.248771,1.0,1.0,,GEOINT,NonKinetic,,,,,not_conducted,favorable,,,GovContractor,start,None,AFLCMC,NAVY-BA2-0602270N,2,Navy,Service HQ,,3,2
Title10,,EW,,Partner_CoDev,legal,,,,,,,,,,GEOINT,NonKinetic,0,0.299919,0.528687,0.142625,unfavorable,,1.0,0.121394,GovContractor,unfavorable,None,AFLCMC,NAVY-BA2-0602270N,2,Navy,Service HQ,feasibility,3,2
Title50,,Cyber,,POM,attempt,,,,,,,,,,SIGINT,Kinetic,,0.299919,0.528687,0.142625,not_conducted,,1.0,0.121394,GovLab,start,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,,3,3
Title50,,Cyber,1.0,POM,funding,,,1.0,1.0,0.36,0.2952,1.0,1.0,0.82,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,3,3
Title10,,Land,1.0,ProgramBase,attempt,,,1.0,1.0,0.36,0.2952,1.0,1.0,0.82,GEOINT,Kinetic,,,,,not_conducted,,,,GovLab,start,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,,3,2
Title10,GovLab,Land,,ProgramBase,contracting,,,0.8075,,0.6,0.4845,,1.0,,GEOINT,Kinetic,0,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,3,2
Title50,,Space,0.75,Partner,funding,,,0.5508,1.0,0.196875,0.045544,1.0,0.5,0.84,SIGINT,Kinetic,1,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,3,3
Title10,,ISR,0.75,Partner,attempt,,,0.5508,1.0,0.196875,0.045544,1.0,0.5,0.84,OSINT,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,,4,2
Title10,,ISR,1.0,Partner,funding,,,0.7225,1.0,0.3,0.186405,1.0,1.0,0.86,OSINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,4,2
Title50,,Cyber,1.0,POM,funding,,,0.771637,1.0,0.36,0.227787,1.0,1.0,0.82,SIGINT,Kinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,4,3
Title10,GovLab,Land,,ProgramBase,contracting,,,0.605625,,0.6,0.363375,,1.0,,GEOINT,Kinetic,1,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,4,2
Title50,,Space,0.75,Partner,funding,,,0.3584,1.0,0.196875,0.029635,1.0,0.5,0.84,SIGINT,Kinetic,2,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,4,3
Title10,,ISR,1.0,Partner,funding,,,0.507656,1.0,0.3,0.130975,1.0,1.0,0.86,OSINT,Kinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,SAIC,NRL,ARMY-BA3-0603007A,1,Army,POC-User,prototype_demo,5,2
Title50,,Cyber,1.0,POM,funding,,,0.5832,1.0,0.36,0.172161,1.0,1.0,0.82,SIGINT,Kinetic,2,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,DEVCOM,ARMY-BA2-0602105A,14,Army,Service HQ,feasibility,5,3
Title10,GovLab,Land,,ProgramBase,contracting,,,0.4725,,0.6,0.2835,,1.0,,GEOINT,Kinetic,2,,,,favorable,,,,GovLab,fail,None,PEO C4I,NAVY-BA3-USV-ATD,17,Navy,Agency,prototype_demo,5,2
Title50,,Space,0.75,Partner,funding,,,0.25725,1.0,0.196875,0.021271,1.0,0.5,0.84,SIGINT,Kinetic,3,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY-BA3-USV-ATD,31,Navy,CCMD,functional_test,5,3
Title50,,Maritime,0.75,Partner_CoDev,attempt,,,0.25725,1.0,0.196875,0.021271,1.0,0.5,0.84,HUMINT,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,,5,3
Title50,,Maritime,0.75,Partner_CoDev,funding,,,0.7,1.0,0.223125,0.131197,1.0,1.0,0.84,HUMINT,Kinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,LM,AFLCMC,NAVY-BA7-TBD_BA7_NAVY_AEGIS,34,Navy,Service HQ,operational_test,5,3
